sample_id,probability_delay_over_120s
122048_1767673800,0.31276962058110774
122048_1767674100,0.1590538466001183
122048_1767674400,0.05024222860493955
122048_1767674700,0.05219138128979546
122048_1767675000,0.08924603079428142
122048_1767675300,0.03416602977863914
122048_1767695400,0.02227180242170947
122048_1767695700,0.03060728569523051
122048_1767696000,0.07439110855619295
122048_1767696300,0.07343387901989996
122048_1767696600,0.08118831282594134
122048_1767696900,0.034823915738120964
122048_1767699000,0.053297170319795986
122048_1767699300,0.059501123953372995
122048_1767699600,0.09450181151020304
122048_1767699900,0.08051788425376769
122048_1767700200,0.13415432320418197
122048_1767700500,0.414165423022017
122048_1767709800,0.047342366933252625
122048_1767710100,0.04946054986061711
122048_1767710400,0.048664749153373175
122048_1767710700,0.04103499651551351
122048_1767711000,0.26237808477394575
122048_1767711300,0.08258611483959324
122048_1767717000,0.03784229324995158
122048_1767717300,0.0816762170568023
122048_1767717600,0.08404350930809279
122048_1767731400,0.022532136043570322
122048_1767731700,0.0376024743411589
122048_1767732000,0.06625958601710354
122048_1767732300,0.0361905188652073
122048_1767732600,0.08464168906322944
122048_1767732900,0.037009668282608356
122613_1767690000,0.11085445244446622
122613_1767690300,0.1454610041144619
122613_1767690600,0.2994812051019033
122613_1767690900,0.1227843909475944
122613_1767691200,0.0857976381598879
122613_1767691500,0.08971602945135632
122613_1767718800,0.19090867380644796
122658_1767679500,0.020824448930963326
122658_1767679800,0.11518033934272376
122658_1767680100,0.2920648772230102
122658_1767680400,0.3384532323242341
122658_1767680700,0.45324943559665065
122658_1767686400,0.017922543373623284
122658_1767686700,0.02783575007796525
122658_1767687000,0.013124220941425208
122658_1767687300,0.029161933533183537
122658_1767687600,0.17957364032025036
122658_1767687900,0.25707425739604034
122658_1767706200,0.5662623724365272
122658_1767706500,0.03669266981301153
122658_1767706800,0.021571072037937344
122658_1767707100,0.014503625744285176
122658_1767707400,0.017842388786331792
129964_1767702600,0.09622664268142153
129964_1767702900,0.031452065475547915
129964_1767703200,0.024017137053683597
129964_1767703500,0.035939327155574914
129964_1767704100,0.019008879786795687
130072_1767736800,0.09429033717205922
130072_1767737100,0.1565109479187664
130072_1767737400,0.10295523486798717
130072_1767737700,0.07915179088972726
130072_1767738000,0.06254880684903807
130072_1767738300,0.08735593675444904
130072_1767742200,0.25373583998208266
130072_1767742500,0.11688129091774921
130072_1767742800,0.13801412331549007
130072_1767743100,0.1349349265456024
130072_1767743400,0.13900062576686617
130072_1767743700,0.08180160809712139
130238_1767684600,0.04435189789548161
130238_1767684900,0.06133274360434027
130238_1767685200,0.20616096525762603
130238_1767685500,0.18855913045255288
130238_1767685800,0.35791808729262153
130238_1767686100,0.23118687581573324
131672_1767670500,0.1316462699543837
131672_1767670800,0.2419244393126807
131672_1767671100,0.5794129766778737
131672_1767671400,0.5265315892666067
131672_1767675600,0.162985787182024
131672_1767675900,0.09559728432746825
131672_1767676200,0.11276823615555812
131672_1767676500,0.057177972479953064
131672_1767676800,0.10535513551405762
131672_1767677100,0.08833715947401627
131672_1767709800,0.12236172880622069
131672_1767710100,0.08948147796967797
131672_1767710400,0.06803483521612738
131672_1767710700,0.03925698429165657
131672_1767711000,0.02323148941662
131672_1767711300,0.030925145075160487
131672_1767722400,0.3405168023569471
131672_1767722700,0.5674912961021419
131672_1767723000,0.6300018749561216
131672_1767723300,0.6971414666811869
131672_1767723600,0.6970074090440991
131672_1767723900,0.8574035820342529
132430_1767713400,0.8992323336096086
132430_1767713700,0.9082413926213166
132430_1767714000,0.9050114228417139
132430_1767714300,0.8283232328896466
132430_1767714600,0.8907144487054988
132430_1767714900,0.9165593956450359
132430_1767720000,0.15473998226471639
132430_1767720300,0.23552262518066666
132430_1767727800,0.8771397325059209
132430_1767728100,0.9323713685849638
132430_1767728400,0.818026670091978
132430_1767728700,0.9210933977146987
132430_1767729000,0.5428335754510807
132430_1767729300,0.35866614770163513
133300_1767699000,0.12524794328301833
133300_1767699300,0.1317625243107331
133300_1767699600,0.39602104101632285
133300_1767699900,0.1276274210240261
133300_1767700200,0.26122233346436374
133300_1767700500,0.204944261857408
133300_1767713400,0.0854738610639243
133300_1767713700,0.09562815560160118
133300_1767714000,0.3396489369068483
133300_1767714600,0.04268088560149386
133300_1767714900,0.08579040985600883
133957_1767700800,0.1742133642242645
133957_1767701100,0.5010756211526011
133957_1767701400,0.30805134766243386
133957_1767701700,0.21651830692543028
133957_1767702000,0.33309835627954054
133957_1767702300,0.3559920526089885
133957_1767724200,0.6530919504093121
134040_1767672000,0.1499580724771947
134040_1767672300,0.3114438055292008
134040_1767672600,0.15383925586538238
134040_1767672900,0.2851685100420796
134040_1767673200,0.227758659433543
134040_1767673500,0.5324446621874077
134040_1767684600,0.2999778445258928
134040_1767684900,0.14528295221936735
134040_1767685200,0.287833160217234
134040_1767685500,0.21349755001536042
134040_1767685800,0.27936727649760784
134040_1767686100,0.2571919991595044
134040_1767733200,0.8520145535194611
134040_1767733500,0.8343282227168098
134040_1767733800,0.8908040235761132
134040_1767734100,0.8883559713260468
134040_1767734400,0.8668184750234462
134040_1767734700,0.8422585420756696
